idOglasa,cena,stanje,marka,model,godiste,kilometraza,karoserija,gorivo,kubikaza,snagaMotora,menjac,brojVrata,boja,lokacijaProdavca
19823014,29500,"Polovno vozilo",Nissan,Qashqai,2021,4000,Džip/SUV,Benzin,1332,158,"Automatski / poluautomatski ",4,"Plava ",Beograd
20001113,29456,"Novo vozilo",Volkswagen,T-Roc,2022,1,Džip/SUV,Benzin,999,110,"Manuelni 6 brzina ",4,"Crna ",Niš
19255079,29280,"Novo vozilo",Honda,Jazz,2021,0,Hečbek,Benzin,1498,98,"Automatski / poluautomatski ",4,"Bela ","Novi Beograd"
20034047,29250,"Polovno vozilo",Volkswagen,"Golf 8",2021,45160,Hečbek,"Benzin + Metan (CNG)",1498,131,"Automatski / poluautomatski ",4,"Siva ",Niš
18840691,29190,"Novo vozilo",Jeep,Compass,2022,0,Džip/SUV,Dizel,1598,131,"Manuelni 6 brzina ",4,"Plava ",Kragujevac
19781607,29090,"Novo vozilo",Hyundai,Tucson,2022,1,Džip/SUV,Dizel,1598,114,"Manuelni 6 brzina ",4,"Siva ",Jagodina
20067566,29000,"Polovno vozilo",Seat,Ateca,2021,16000,Džip/SUV,Benzin,1498,150,"Automatski / poluautomatski ",4,"Plava ",Sombor
19579387,28999,"Polovno vozilo",Suzuki,Jimny,2022,3,Džip/SUV,Benzin,1462,102,"Automatski / poluautomatski ",2,"Siva ",Beograd
18639054,28990,"Polovno vozilo",Nissan,Qashqai,2021,30,Džip/SUV,Benzin,1332,158,"Manuelni 6 brzina ",4,"Bordo ",Kragujevac
19613924,28900,"Polovno vozilo",Hyundai,Tucson,2021,12600,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Bordo ",Beograd
19729956,28900,"Novo vozilo",Nissan,Qashqai,2022,0,Džip/SUV,Benzin,1332,158,"Automatski / poluautomatski ",4,"Bela ",Beograd
19873628,28590,"Novo vozilo",Hyundai,Tucson,2022,0,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Bela ",Niš
20021797,28500,"Novo vozilo",Nissan,Qashqai,2022,0,Džip/SUV,Benzin,1332,140,"Manuelni 6 brzina ",4,"Siva ","Novi Sad"
17832150,28390,"Novo vozilo",Hyundai,Tucson,2022,0,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Srebrna ",Beograd
17832274,28390,"Novo vozilo",Hyundai,Tucson,2022,5,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Bordo ",Zrenjanin
19697735,28200,"Novo vozilo",Suzuki,Vitara,2022,0,Džip/SUV,Benzin,1398,140,"Automatski / poluautomatski ",4,"Zlatna ",Niš
19774481,28190,"Novo vozilo",Jeep,Compass,2022,0,Džip/SUV,Dizel,1598,131,"Manuelni 6 brzina ",4,"Bela ",Beograd
17832064,28090,"Novo vozilo",Hyundai,Tucson,2022,5,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Crna ",Kraljevo
17842219,28090,"Polovno vozilo",Hyundai,Tucson,2022,1,Džip/SUV,Benzin,1600,150,"Manuelni 6 brzina ",4,"Bež ",Jagodina
17846690,28090,"Novo vozilo",Hyundai,Tucson,2022,1,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Kameleon ",Jagodina
17869779,28090,"Novo vozilo",Hyundai,Tucson,2022,2,Džip/SUV,Benzin,1589,150,"Manuelni 6 brzina ",4,"Zelena ",Jagodina
19260176,28090,"Novo vozilo",Hyundai,Tucson,2021,10,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Crna ",Sombor
19637304,28090,"Novo vozilo",Hyundai,Tucson,2022,0,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Crna ",Niš
19799468,28090,"Novo vozilo",Hyundai,Tucson,2022,0,Džip/SUV,Dizel,1598,116,"Manuelni 6 brzina ",4,"Teget ",Niš
19507524,27990,"Polovno vozilo",Renault,Megane,2021,14250,Hečbek,Benzin,1332,140,"Automatski / poluautomatski ",4,"Narandžasta ",Užice
19639046,27939,"Novo vozilo",Kia,Sportage,2022,5,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Plava ","Novi Sad"
19723944,27939,"Novo vozilo",Kia,Sportage,2022,4,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Crvena ",Subotica
19729037,27939,"Novo vozilo",Kia,Sportage,2022,2,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Crvena ","Novi Sad"
19729446,27939,"Novo vozilo",Kia,Sportage,2022,5,Džip/SUV,Benzin,1598,150,"Manuelni 6 brzina ",4,"Crna ","Novi Sad"
19795029,27939,"Polovno vozilo",Kia,Sportage,2022,5,Džip/SUV,Benzin,1589,150,"Manuelni 6 brzina ",4,"Zelena ",Veternik
